Job Title,Company Name,Job Role,Salary,Location,sector
DESIGN & DRAFTING,SHINETEC ENERGY SOLUTIONS PRIVATE LIMITED,Auto CAD Designer,"10,000 - 15,000",Virudhunagar,Manufacturing
Manager - Business Development,SRK E MOBILITY,Area Manager (Auto Components),"15,000 - 25,000",Thoothukudi,Automotive
Sales Executive-Male,ABVR MOTORS,Sales Executive-Dealership,7500-10000,Cuddalore,Automotive
Field Marketing Executive,Star group of company,Field Executive - Data and Document Collection or Verification,"15,000 - 25,000",Kallakurichi,Management and Entrepreneurship & Professional
Water treatment plant technician,Uniway Engineers Pvt Ltd,Service Engineer - Installation and Commissioning,"10,000 - 15,000",Chennai,Capital Goods
SUPERVISIOR,Neatt and clean,Facility Supervisor,"15,000 - 25,000",Chennai,Tourism & Hospitality
"Business Development Executive, Assistant manager",SKYLINE BTC,Business Development Executive,"10,000 - 15,000",Thanjavur,Management and Entrepreneurship & Professional
Supply Chain Manager,ALTA VISTA,Purchase Executive,"10,000 - 15,000",Chennai,Manufacturing
Cutting Incharge,WHIPIX FASHIONS,Cutting Supervisor,"15,000 - 25,000",Tiruppur,"Apparel, Made-Ups & Home Furnishing"
BRANCH INCHARGE,Finotive Solutions,Business Development Executive,"25,000 - 50,000",Coimbatore,"Banking, Financial Services and Insurance"
Tele Caller,Finotive Solutions,Business Development Executive,"15,000 - 25,000",Coimbatore,"Banking, Financial Services and Insurance"
AREA SALES  MANAGER,Premium Coatings and Chemical Pvt Ltd,Sales Representative,"50,000 - 1 Lakh",Chennai,Manufacturing
Training and placement incharge,Cloud Tech Mind Solutions,Teacher,"10,000 - 15,000",Chennai,Education & Support services
Junior assistant manager,MAGZ TECH,Trainer,"15,000 - 25,000",Coimbatore,Management and Entrepreneurship & Professional
Application Developer,Darus infotech india pvt ltd,Application developer - Web & Mobile,"15,000 - 25,000",Chennai,IT-ITES
Auto CAD Designer,Enseigner Private Limited,Draftsman,"15,000 - 25,000",Chennai,Electronics & Hardware
Trainee Machine Operator,Jayachandran Global Refineries Pvt Ltd,Trainee,"15,000 - 25,000",Tiruvallur,Manufacturing
Sales & Marketing,Power elite,Sales Executive-Dealership,"10,000 - 15,000",Tirunelveli,Automotive
SALES & MARKETING EXECUTIVE - Chennai,TAIYOU INDIA,Industrial Automation Specialist,"25,000 - 50,000",Chennai,"Instrumentation, Automation, Surveillance and Communication"
Junior Accountant,Aathira Velli Malikai,Billing Executive,"10,000 - 15,000",Erode,Retail
